Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
49,53.1722,395891,21050395.4302,170588,9070539.2536
1172,4605.89,465174,2142540274.8600001,189746,873949203.94

weighted_avg,NA,NA,2163590670.2902,NA,883019743.1936
weighted_%,NA,NA,0.7101632229426188,NA,0.28983677705738115
weighted_total,3046610413.4838004
