Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
4118,2431.67,65191,158522998.97,142787,347210864.29
1010,22.174,66600,1476788.4,142707,3164385.018
1362,2347.06,64653,151744470.18,146150,343022819.0
5198,1186.62,62837,74563640.94,144005,170879213.1

weighted_avg,NA,NA,386307898.49,NA,864277281.4080001
weighted_%,NA,NA,0.30890170833585917,NA,0.6910982916641407
weighted_total,1250585179.8980002
