Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
4118,2431.67,162818,395919646.06,222371,540732889.57
1010,22.174,161388,3578617.512,221815,4918525.81
1362,2347.06,162943,382436997.58,222173,521453361.38
5198,1186.62,159125,188820907.49999997,223433,265130066.45999998

weighted_avg,NA,NA,970756168.652,NA,1332234843.22
weighted_%,NA,NA,0.4215197383088852,NA,0.578480261691115
weighted_total,2302991011.8719997
