Scarab gitrev: 3067351
Scarab started at Fri Jan  3 08:56:28 2025

L1I D-JOLT instruction prefetcher has been constructed!
Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (83.33 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 100.00 KIPS (90.91 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 100.00 KIPS (93.75 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 111.11 KIPS (97.56 KIPS)
** Heartbeat:  25% -- { 5000001 } -- 100.00 KIPS (98.04 KIPS)
** Heartbeat:  30% -- { 6000001 } -- 100.00 KIPS (98.36 KIPS)
** Heartbeat:  35% -- { 7000003 } -- 111.11 KIPS (100.00 KIPS)
** Heartbeat:  40% -- { 8000008 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  45% -- { 9000008 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  50% -- { 10000009 } -- 111.11 KIPS (101.01 KIPS)
** Heartbeat:  55% -- { 11000009 } -- 100.00 KIPS (100.92 KIPS)
** Heartbeat:  60% -- { 12000009 } -- 90.91 KIPS (100.00 KIPS)
** Heartbeat:  65% -- { 13000014 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  70% -- { 14000014 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  75% -- { 15000015 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  80% -- { 16000017 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  85% -- { 17000019 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  90% -- { 18000021 } -- 100.00 KIPS (100.00 KIPS)
** Heartbeat:  95% -- { 19000024 } -- 100.00 KIPS (100.00 KIPS)
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
** Core 0 Finished:    insts:20069039    cycles:10657313    time:3330410312500       -- 1.88 IPC (1.88 IPC) --  N/A  KIPS (100.50 KIPS)
Scarab finished at Fri Jan  3 08:59:47 2025

