Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
4118,2431.67,400876,974798142.9200001,77921,189478158.07
1010,22.174,398869,8844521.206,86789,1924459.2859999998
1362,2347.06,401967,943440667.02,81369,190977925.14
5198,1186.62,399230,473734302.59999996,78142,92724860.03999999

weighted_avg,NA,NA,2400817633.746,NA,475105402.536
weighted_%,NA,NA,0.8347989857370394,NA,0.16520101426296074
weighted_total,2875923036.2819996
