Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
4118,2431.67,76195,185281095.65,15679,38126153.93
1010,22.174,76487,1696022.738,17404,385916.296
1362,2347.06,75662,177583253.72,17243,40470355.58
5198,1186.62,76237,90464348.94,16370,19424969.4

weighted_avg,NA,NA,455024721.04800004,NA,98407395.206
weighted_%,NA,NA,0.8221870536316408,NA,0.17781294636835912
weighted_total,553432116.2540001
