Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
4118,2431.67,74602,181407445.34,3311,8051259.37
1010,22.174,73983,1640499.042,3525,78163.34999999999
1362,2347.06,74569,175017917.14,3144,7379156.64
5198,1186.62,73521,87241489.02,3180,3773451.5999999996

weighted_avg,NA,NA,445307350.54199994,NA,19282030.96
weighted_%,NA,NA,0.9584966171683436,NA,0.04150338283165647
weighted_total,464589381.5019999
