Simpoints,Weight,NODE_INST_COUNT_val,NODE_INST_COUNT_w_val
4118,2431.67,10034362,24400257044.54
1010,22.174,10315269,228730774.806
1362,2347.06,10034486,23551540711.16
5198,1186.62,10034194,11906775284.279999

weighted_avg,NA,NA,60087303814.785995
weighted_%,NA,NA,1.0
weighted_total,60087303814.785995
