Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
4118,2431.67,987957,2402385398.19,562199,1367082442.33
1010,22.174,997201,22111934.974,571716,12677230.583999999
1362,2347.06,984640,2311009158.4,566495,1329597754.7
5198,1186.62,990642,1175515610.04,539169,639788718.78

weighted_avg,NA,NA,5911022101.604,NA,3349146146.394
weighted_%,NA,NA,0.6383277218404678,NA,0.3616722781595321
weighted_total,9260168247.998001
