Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
4118,2431.67,15.53,37763.8351
1010,22.174,16.041,355.693134
1362,2347.06,15.496,36370.04176
5198,1186.62,15.585,18493.4727

weighted_avg,NA,NA,92983.04269399999
weighted_%,NA,NA,1.0
weighted_total,92983.04269399999
