cf_type,addr,target,bpu_hit_uc_hit,bpu_hit_uc_miss,mispred_uc_hit,mispred_uc_miss,misfetch_uc_hit,misfetch_uc_miss,btb_miss_uc_hit,btb_miss_uc_miss,other_recovery_uc_hit,other_recovery_uc_miss,recover_redirect_extra_fetch_latency
2,7ffda9cdf097,7ffda9cdf0a2,0,5,0,0,0,0,0,1,0,0,2
2,7ffdac4f742c,7ffdac4f74a0,0,50,0,0,0,0,0,29,0,0,58
2,7ffdac4d742e,7ffdac4d7b75,0,1872,0,62,0,0,0,1,0,0,126
2,7ffdac4d746e,7ffdac4d7560,0,3,0,1,0,0,0,1,0,0,4
2,7ffdac4ffc28,7ffdac4ffdb4,0,64,0,0,0,0,0,2,0,0,4
2,7ffdac67f828,7ffdac67f841,0,24,0,0,0,0,0,7,0,0,14
2,7ffdac4f782a,0,0,50,0,0,0,0,0,0,0,0,0
2,7ffdac4d7460,7ffdac4d7560,0,427,0,6,0,0,0,1,0,0,14
2,7ffdac4ffc23,7ffdac4ffc2e,0,89,0,2,0,0,0,1,0,0,6
1,7ffdac67fc3c,7ffdac67fb56,0,64,0,0,0,0,0,2,0,0,4
2,7ffda9cdf079,7ffda9cdf08f,0,5,0,0,0,0,0,1,0,0,2
7,7ffdac55e87b,7ffdaa2c7575,0,13,0,0,0,0,0,0,0,0,0
3,7ffdac4ffc37,7ffda9c7c450,0,25,0,0,0,0,0,2,0,0,4
2,7ffdac4d7c31,7ffdac4d7cee,0,1471,0,63,0,0,0,26,0,0,178
2,7ffdac67f873,7ffdac67f892,0,24,0,1,0,0,0,4,0,0,10
3,7ffdac4ffc0d,7ffdaa318120,0,89,0,0,0,0,0,15,0,0,30
1,7ffdac4df04e,7ffdac4e054a,0,3,0,0,0,0,0,2,0,0,4
7,7ffda9cde84a,7ffdaa2d2c0c,0,21,0,0,0,0,0,0,0,0,0
2,7ffdac67f848,0,0,24,0,0,0,0,0,0,0,0,0
2,7ffdac4d7448,7ffdac4d7420,0,1872,0,94,0,0,0,2,0,0,192
3,7ffdac4d7c0b,7ffda9cbe080,0,828,0,0,0,0,0,1,0,0,2
2,7ffdac4ffc46,7ffdac4ffc94,0,25,0,0,0,0,0,5,0,0,10
3,7ffdac67f841,7ffdab63edb0,0,24,0,0,0,0,0,1,0,0,2
2,7ffdac4d7c41,7ffdac4d801b,0,1375,0,189,0,0,0,52,0,0,482
2,7ffdac4d7401,0,0,55,0,0,0,0,0,0,0,0,0
2,7ffdac67f85e,0,0,24,0,0,0,0,0,2,0,0,4
2,7ffdac4d7c1f,0,0,1471,0,0,0,0,0,2,0,0,4
2,7ffdac67f859,0,0,24,0,0,0,0,0,0,0,0,0
2,7ffdac67fc1b,7ffdac67fc3a,0,64,0,0,0,0,0,1,0,0,2
1,7ffdac4f785b,7ffdac4f78e1,0,50,0,0,0,0,0,2,0,0,4
2,7ffdac4f7855,0,0,50,0,0,0,0,0,0,0,0,0
2,7ffdac4d7451,7ffdac4d7420,0,1790,0,413,0,0,0,1,0,0,828
2,7ffdac4f7412,0,0,50,0,0,0,0,0,0,0,0,0
1,7ffdac4d7413,7ffdac4d7434,0,55,0,0,0,0,0,2,0,0,4
2,7ffdac67fbac,0,0,64,0,0,0,0,0,1,0,0,2
7,7ffdac55e7ee,7ffdaa1d9b2b,0,3,0,0,0,0,0,0,0,0,0
2,7ffdac4ffbaf,0,0,24,0,0,0,0,0,1,0,0,2
2,7ffdac67fba8,0,0,64,0,0,0,0,0,1,0,0,2
2,7ffdac4ffbaa,7ffdac4ffbf4,0,89,0,3,0,0,0,1,0,0,8
2,7ffdac4d77a4,7ffdac4d7420,0,7,0,1,0,0,0,1,0,0,4
2,7ffdac67fba3,0,0,64,0,0,0,0,0,0,0,0,0
2,7ffdac4d73e3,0,0,55,0,0,0,0,0,0,0,0,0
2,7ffdac4d7bfc,7ffdac4d7c13,0,1471,0,122,0,0,0,56,0,0,356
2,7ffdac4f77ff,7ffdac4f781f,0,50,0,0,0,0,0,14,0,0,28
2,7ffdac4ffbb8,0,0,24,0,0,0,0,0,0,0,0,0
2,7ffdac67fbf9,0,0,64,0,0,0,0,0,0,0,0,0
2,7ffdac4dffb9,7ffdac4e053c,0,13,0,2,0,0,0,1,0,0,6
1,7ffdac67fbfb,7ffdac67fc18,0,64,0,0,0,0,0,1,0,0,2
3,7ffdac67fbf2,7ffda9c736f0,0,64,0,0,0,0,0,11,0,0,22
2,7ffda9cdf3f7,0,0,5,0,0,0,0,0,1,0,0,2
2,7ffdac67fb8e,0,0,64,0,0,0,0,0,2,0,0,4
2,7ffdac4ffbc5,0,0,24,0,0,0,0,0,0,0,0,0
2,7ffdac67fbc0,0,0,64,0,0,0,0,0,0,0,0,0
1,7ffdac67fbc2,7ffdac67fbed,0,64,0,0,0,0,0,1,0,0,2
3,7ffdac4d73dc,7ffdab63f0a0,0,55,0,0,0,0,0,6,0,0,12
2,7ffda9cdf3d8,7ffda9cdf3e9,0,5,0,0,0,0,0,4,0,0,8
2,7ffdac4dffdf,7ffdac4e04e9,0,20,0,2,0,0,0,9,0,0,22
7,7ffdac55efd9,7ffdaa1b5bd8,0,240,0,0,0,0,0,0,0,0,0
2,7ffdac4d7394,0,0,56,0,0,0,0,0,2,0,0,4
2,7ffdac4d7b95,0,0,55,0,0,0,0,0,2,0,0,4
2,7ffdac4d7790,7ffdac4d7798,0,7,0,1,0,0,0,1,0,0,4
2,7ffdac4ffb92,0,0,89,0,0,0,0,0,0,0,0,0
2,7ffdac4dffd2,0,0,20,0,0,0,0,0,0,0,0,0
2,7ffdac67fb65,7ffdac67fb89,0,64,0,0,0,0,0,19,0,0,38
1,7ffdac4fff26,0,0,1,0,0,0,0,0,1,0,0,2
2,7ffdac4fff20,0,0,1,0,0,0,0,0,0,0,0,0
2,7ffdac4d7378,7ffdac4d7383,0,56,0,0,0,0,0,3,0,0,6
2,7ffdac4d7779,7ffdac4d7420,0,406,0,9,0,0,0,40,0,0,98
2,7ffdac4d7b7a,7ffdac4d7b84,0,55,0,0,0,0,0,1,0,0,2
7,7ffdac55e775,7ffdaa389d88,0,2,0,0,0,0,0,0,0,0,0
3,7ffdac4ffb0d,7ffda9c16250,0,89,0,0,0,0,0,1,0,0,2
3,7ffdac67fb4b,7ffdab63ef30,0,64,0,0,0,0,0,1,0,0,2
3,7ffda9cdf34e,7ffda9a85b10,0,5,0,0,0,0,0,1,0,0,2
3,7ffda9cdf343,7ffda9a85f40,0,5,0,0,0,0,0,1,0,0,2
3,7ffdac4ffb00,7ffda9ef4af0,0,89,0,0,0,0,0,1,0,0,2
1,7ffdac4ffb5d,7ffdac4ffb76,0,89,0,0,0,0,0,1,0,0,2
2,7ffda9cdf358,7ffda9cdf3d1,0,5,0,0,0,0,0,4,0,0,8
7,7ffda9f76f1f,7ffda9f74c94,0,204,0,0,0,0,0,0,0,0,0
2,7ffdac4ffb1b,0,0,89,0,0,0,0,0,1,0,0,2
2,7ffdac67fb52,7ffdac67fb5c,0,64,0,0,0,0,0,1,0,0,2
