Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,100460,21844725.62,30088,6542545.336
2298,16.1495,0,0.0,0,0.0
2235,73.9095,53,3917.2034999999996,879,64966.45049999999
562,151.883,15456,2347503.648,12745,1935748.8350000002
2322,74.3347,10,743.347,29,2155.7063
533,77.6496,2022,157007.49120000002,10396,807245.2416000001
655,136.191,64,8716.224,970,132105.27
414,208.958,70623,14757240.834,99053,20697916.774
253,149.505,112289,16787766.945,38736,5791225.68
853,129.616,100,12961.600000000002,1001,129745.61600000001
907,262.418,11129,2920449.9220000003,14506,3806635.508
1114,12.9007,823,10617.276100000001,306,3947.6142
939,1055.11,160403,169242809.32999998,171623,181081143.52999997
2606,11.2554,34,382.6836,310,3489.174
2837,150.956,137212,20712974.672,65367,9867540.852
1793,150.359,65,9773.335000000001,1188,178626.492
1046,85.9267,89350,7677550.645,22091,1898206.7297
554,46.3771,2009,93171.59389999999,3415,158377.7965
1970,47.9169,2714,130046.4666,2552,122283.9288

weighted_avg,NA,NA,256718358.8369,NA,233223906.53459996
weighted_%,NA,NA,0.5239767560005109,NA,0.4760232439994891
weighted_total,489942265.37149996
