Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
2766,217.447,145455,31628753.385,3698,804119.006
2298,16.1495,0,0.0,0,0.0
2235,73.9095,14243,1052693.0085,68373,5053414.2435
562,151.883,16289,2474022.1870000004,10654,1618161.482
2322,74.3347,1153,85707.9091,1976,146885.3672
533,77.6496,46489,3609852.2544000004,12559,975201.3264000001
655,136.191,6724,915748.284,7330,998280.03
414,208.958,798271,166805111.618,203777,42580834.366
253,149.505,41369,6184872.345,2986,446421.93
853,129.616,112514,14583614.624000002,62788,8138329.408000001
907,262.418,9413,2470140.634,5233,1373233.394
1114,12.9007,900,11610.630000000001,1040,13416.728000000001
939,1055.11,594945,627732418.9499999,111441,117582513.50999999
2606,11.2554,112588,1267222.9752,270614,3045868.8156
2837,150.956,29460,4447163.76,1545,233227.02
1793,150.359,40720,6122618.48,82579,12416495.861000001
1046,85.9267,59325,5097601.4775,3183,273504.6861
554,46.3771,6181,286656.8551,2878,133473.29379999998
1970,47.9169,7905,378783.0945,3081,147631.9689

weighted_avg,NA,NA,875154592.4713,NA,195981012.4365
weighted_%,NA,NA,0.8170343591058488,NA,0.18296564089415127
weighted_total,1071135604.9078
