Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2766,217.447,7337,1595408.639
2298,16.1495,0,0.0
2235,73.9095,105,7760.4974999999995
562,151.883,2338,355102.454
2322,74.3347,17,1263.6898999999999
533,77.6496,2149,166868.9904
655,136.191,326,44398.266
414,208.958,25210,5267831.18
253,149.505,11024,1648143.1199999999
853,129.616,151,19572.016000000003
907,262.418,1776,466054.368
1114,12.9007,3,38.7021
939,1055.11,48690,51373305.9
2606,11.2554,160,1800.864
2837,150.956,9236,1394229.616
1793,150.359,150,22553.850000000002
1046,85.9267,6680,573990.356
554,46.3771,283,13124.719299999999
1970,47.9169,134,6420.8646

weighted_avg,NA,NA,62957868.0928
weighted_%,NA,NA,1.0
weighted_total,62957868.0928
