Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2766,217.447,158255,34412074.985
2298,16.1495,0,0.0
2235,73.9095,24540,1813739.13
562,151.883,240245,36489131.335
2322,74.3347,7870,585014.089
533,77.6496,649045,50398084.63200001
655,136.191,95085,12949721.235
414,208.958,2738900,572315066.2
253,149.505,495050,74012450.25
853,129.616,47120,6107505.920000001
907,262.418,132740,34833365.32
1114,12.9007,4685,60439.779500000004
939,1055.11,3034985,3202243023.35
2606,11.2554,60985,686410.569
2837,150.956,300330,45336615.48
1793,150.359,70620,10618352.58
1046,85.9267,467190,40144094.973
554,46.3771,64635,2997583.8585
1970,47.9169,2386990,114377161.131

weighted_avg,NA,NA,4240379834.817
weighted_%,NA,NA,1.0
weighted_total,4240379834.817
