Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2766,217.447,1560193,339259287.271,339949,73920890.203
2298,16.1495,1276686,20617840.557,32738,528702.331
2235,73.9095,1493544,110387090.26799999,324029,23948821.375499997
562,151.883,1176062,178623824.74600002,884472,134336260.77600002
2322,74.3347,1461380,108631243.88599999,265764,19755487.2108
533,77.6496,1546381,120075866.09760001,1653401,128385926.28960001
655,136.191,1186659,161612275.86900002,161708,22023174.228
414,208.958,1347624,281596815.792,960757,200757861.206
253,149.505,1155724,172786516.62,581516,86939549.58
853,129.616,1792533,232340957.32800004,1237620,160415353.92000002
907,262.418,1411960,370523719.28000003,1758046,461342915.228
1114,12.9007,411737,5311695.5159,155363,2004291.4541
939,1055.11,1265901,1335664804.11,1572007,1658640305.7699997
2606,11.2554,1318262,14837566.1148,173465,1952417.961
2837,150.956,1266608,191202077.248,713048,107638873.888
1793,150.359,1420669,213610370.171,1081831,162663027.329
1046,85.9267,1111857,95538202.8819,271769,23352213.3323
554,46.3771,1365646,63334701.1066,796886,36957261.710599996
1970,47.9169,1326917,63581749.197299995,30378,1455619.5881999999

weighted_avg,NA,NA,4079536604.0600996,NA,3307018953.3810997
weighted_%,NA,NA,0.5522921437922962,NA,0.44770785620770376
weighted_total,7386555557.441199
