Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2766,217.447,7942,1726964.074
2298,16.1495,0,0.0
2235,73.9095,164,12121.158
562,151.883,2642,401274.886
2322,74.3347,17,1263.6898999999999
533,77.6496,2544,197540.5824
655,136.191,424,57744.984000000004
414,208.958,27970,5844555.26
253,149.505,11639,1740088.6949999998
853,129.616,191,24756.656000000003
907,262.418,1881,493608.25800000003
1114,12.9007,3,38.7021
939,1055.11,54160,57144757.599999994
2606,11.2554,208,2341.1232
2837,150.956,9698,1463971.288
1793,150.359,221,33229.339
1046,85.9267,7071,607587.6956999999
554,46.3771,318,14747.9178
1970,47.9169,142,6804.199799999999

weighted_avg,NA,NA,69773396.1089
weighted_%,NA,NA,1.0
weighted_total,69773396.1089
