Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2766,217.447,153455,33368329.385
2298,16.1495,0,0.0
2235,73.9095,28220,2085726.0899999999
562,151.883,230150,34955872.45
2322,74.3347,7570,562713.679
533,77.6496,647005,50239679.44800001
655,136.191,99425,13540790.175
414,208.958,2707565,565767367.27
253,149.505,368660,55116513.3
853,129.616,45035,5837256.5600000005
907,262.418,125635,32968885.43
1114,12.9007,3790,48893.653
939,1055.11,2999555,3164860476.0499997
2606,11.2554,56830,639644.382
2837,150.956,290595,43867058.82
1793,150.359,57655,8668948.145000001
1046,85.9267,297995,25605726.9665
554,46.3771,61370,2846162.627
1970,47.9169,1976040,94685711.07599999

weighted_avg,NA,NA,4135665755.5065
weighted_%,NA,NA,1.0
weighted_total,4135665755.5065
