Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2766,217.447,90968,19780718.696,9708,2110975.4760000003
2298,16.1495,0,0.0,0,0.0
2235,73.9095,1,73.9095,57,4212.8414999999995
562,151.883,12280,1865123.2400000002,3301,501365.78300000005
2322,74.3347,5,371.6735,5,371.6735
533,77.6496,726,56373.6096,1379,107078.79840000001
655,136.191,27,3677.157,64,8716.224
414,208.958,53107,11097132.506,17659,3689989.322
253,149.505,105903,15833028.014999999,10154,1518073.77
853,129.616,9,1166.544,98,12702.368000000002
907,262.418,7505,1969447.09,3768,988791.024
1114,12.9007,759,9791.631300000001,61,786.9427000000001
939,1055.11,121389,128078747.78999999,40277,42496665.47
2606,11.2554,5,56.277,35,393.939
2837,150.956,121208,18297074.847999997,16321,2463752.8759999997
1793,150.359,4,601.436,61,9171.899000000001
1046,85.9267,88632,7615855.2743999995,5918,508514.2106
554,46.3771,1378,63907.6438,652,30237.869199999997
1970,47.9169,2947,141211.1043,626,29995.9794

weighted_avg,NA,NA,204814358.44539997,NA,54481796.4663
weighted_%,NA,NA,0.7898858296419664,NA,0.21011417035803362
weighted_total,259296154.91169998
