Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
2766,217.447,161772,35176836.084,3084,670606.548
2298,16.1495,0,0.0,0,0.0
2235,73.9095,22090,1632660.855,72818,5381941.971
562,151.883,21153,3212781.0990000004,9915,1505919.945
2322,74.3347,1254,93215.7138,2859,212522.9073
533,77.6496,49197,3820127.3712000004,12980,1007891.8080000001
655,136.191,10706,1458060.8460000001,6297,857594.7270000001
414,208.958,887012,185348253.496,222895,46575693.41
253,149.505,49043,7332173.715,4483,670230.915
853,129.616,34872,4519969.152000001,10361,1342951.3760000002
907,262.418,12003,3149803.254,5171,1356963.4780000001
1114,12.9007,724,9340.1068,609,7856.5263
939,1055.11,709545,748648024.9499999,131649,138904176.39
2606,11.2554,100704,1133463.8016,248689,2799094.1706
2837,150.956,29191,4406556.596,1446,218282.376
1793,150.359,44205,6646619.595000001,89409,13443447.831
1046,85.9267,70638,6069690.2346,3229,277457.31429999997
554,46.3771,5571,258366.8241,2259,104765.8689
1970,47.9169,25799,1236208.1031,5431,260236.6839

weighted_avg,NA,NA,1014152151.7971997,NA,215597634.24629995
weighted_%,NA,NA,0.8246817062355857,NA,0.17531829376441432
weighted_total,1229749786.0434997
