Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2766,217.447,1688152,367083587.944,443771,96496672.637
2298,16.1495,1276674,20617646.763,38592,623241.504
2235,73.9095,1555975,115001334.26249999,386828,28590264.065999996
562,151.883,1197818,181928191.294,1073064,162980179.51200002
2322,74.3347,1462557,108718735.82789999,320139,23797436.5233
533,77.6496,1552542,120554265.28320001,1938512,150524681.3952
655,136.191,1192096,162352746.336,196994,26828809.854000002
414,208.958,1531599,320039863.842,1320067,275838560.186
253,149.505,1297752,194020412.76,712733,106557147.16499999
853,129.616,1843123,238898230.76800004,1457555,188922448.88000003
907,262.418,1425820,374160832.76,2066912,542394913.216
1114,12.9007,415140,5355596.598,188914,2437122.8398
939,1055.11,1456863,1537150719.9299998,2130309,2247710328.99
2606,11.2554,1582017,17806234.1418,212385,2390478.129
2837,150.956,1425633,215207855.14799997,879067,132700438.05199999
1793,150.359,1485599,223373180.041,1289186,193840717.77400002
1046,85.9267,1228784,105585354.1328,346498,29773429.696599998
554,46.3771,1369454,63511305.1034,931100,43181717.81
1970,47.9169,1352982,64830703.1958,39879,1910878.0551

weighted_avg,NA,NA,4436196796.131399,NA,4257499466.285
weighted_%,NA,NA,0.5102774081617576,NA,0.4897225918382424
weighted_total,8693696262.416399
