Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
2766,217.447,2955,642555.885,318,69148.14600000001
2298,16.1495,0,0.0,0,0.0
2235,73.9095,28,2069.466,44,3252.0179999999996
562,151.883,1445,219470.93500000003,627,95230.641
2322,74.3347,22,1635.3634,13,966.3511
533,77.6496,773,60023.14080000001,959,74465.9664
655,136.191,84,11440.044,153,20837.223
414,208.958,7674,1603543.692,4475,935087.05
253,149.505,3442,514596.20999999996,543,81181.215
853,129.616,55,7128.880000000001,68,8813.888
907,262.418,1433,376044.994,585,153514.53
1114,12.9007,13,167.7091,3,38.7021
939,1055.11,15592,16451275.12,6162,6501587.819999999
2606,11.2554,34,382.6836,65,731.601
2837,150.956,4684,707077.904,894,134954.664
1793,150.359,28,4210.052000000001,93,13983.387
1046,85.9267,2264,194538.0488,392,33683.2664
554,46.3771,283,13124.719299999999,158,7327.5818
1970,47.9169,3525,168907.07249999998,414,19837.5966

weighted_avg,NA,NA,20978191.919500005,NA,8154641.647399999
weighted_%,NA,NA,0.7200875902210522,NA,0.2799124097789478
weighted_total,29132833.566900004
