Simpoints,Weight,CBR_CORRECT_val,CBR_CORRECT_w_val,CBR_CORRECT_BTB_MISS_NT_NT_val,CBR_CORRECT_BTB_MISS_NT_NT_w_val,CBR_RECOVER_MISPREDICT_val,CBR_RECOVER_MISPREDICT_w_val,CBR_RECOVER_MISFETCH_val,CBR_RECOVER_MISFETCH_w_val,CBR_RECOVER_BTB_MISS_T_T_val,CBR_RECOVER_BTB_MISS_T_T_w_val,CBR_RECOVER_BTB_MISS_T_NT_val,CBR_RECOVER_BTB_MISS_T_NT_w_val,CBR_RECOVER_BTB_MISS_NT_T_val,CBR_RECOVER_BTB_MISS_NT_T_w_val
4118,2431.67,556363,1352891216.21,747122,1816754153.74,277,673572.59,0,0.0,39056,94971303.52,6,14590.02,2,4863.34
1010,22.174,842634,18684566.316,734071,16277290.354,743,16475.282,0,0.0,39543,876826.482,106,2350.444,294,6519.156
1362,2347.06,550777,1292706665.62,744309,1746937881.54,361,847288.66,0,0.0,38959,91439110.53999999,3,7041.18,3,7041.18
5198,1186.62,562318,667257785.16,746817,886187988.54,343,407010.66,0,0.0,38836,46083574.31999999,5,5933.099999999999,9,10679.579999999998

weighted_avg,NA,NA,3331540233.3059998,NA,4466157314.174,NA,1944347.192,NA,0.0,NA,233370814.862,NA,29914.744,NA,29103.255999999998
weighted_%,NA,NA,0.41472805749846314,NA,0.5559712978617988,NA,0.00024204280229885082,NA,0.0,NA,0.029051254959183637,NA,3.723948324457854e-06,NA,3.6229299310556686e-06
weighted_total,8033071727.534
