Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
4118,2431.67,2631674761,6399364566080.87
1010,22.174,2554400750,56641282230.5
1362,2347.06,2538615821,5958283648836.26
5198,1186.62,2490244317,2954973711438.5396

weighted_avg,NA,NA,15369263208586.168
weighted_%,NA,NA,1.0
weighted_total,15369263208586.168
