Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2264,44.9546,411710,18508258.366
812,334.908,440645,147575535.66
1358,97.2156,2204220,214284569.832
1778,40.8635,405,16549.717500000002
828,45.4532,191380,8698833.416000001
2213,8.07837,19820,160113.2934
1726,65.5195,1460,95658.46999999999
2054,37.2896,47695,1778527.472
1903,16.1097,3795,61136.3115
509,133.977,399525,53527160.925000004
1751,10.0901,0,0.0
62,40.4224,99510,4022433.024
2151,40.7196,147120,5990667.552
239,98.774,10770,1063795.98
1893,44.3029,0,0.0
1305,111.513,3622795,403988738.83500004
1673,34.2884,10795,370143.27800000005
492,45.4197,563295,25584689.9115
2249,320.874,2052285,658524897.09
264,17.7912,210660,3747894.192
2123,26.1783,6025,157724.2575
116,27.1629,30000,814887.0
1159,18.1708,94180,1711325.944
1270,263.009,3247850,854213780.6500001
2165,28.2044,1565,44139.886
1152,171.372,42895,7351001.94
792,79.0312,45865,3624765.988
1979,51.6033,218125,11255969.8125
2185,56.1164,16535,927884.674

weighted_avg,NA,NA,2428101083.4779
weighted_%,NA,NA,1.0
weighted_total,2428101083.4779
