Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,47690,2143884.874,66169,2974600.9274
812,334.908,413326,138426184.00800002,117046,39199641.768
1358,97.2156,112327,10919936.7012,119785,11644970.646
1778,40.8635,5,204.3175,41,1675.4035000000001
828,45.4532,732,33271.7424,3103,141041.2796
2213,8.07837,47,379.68339,498,4023.0282599999996
1726,65.5195,682,44684.299,783,51301.7685
2054,37.2896,2024,75474.1504,4461,166348.9056
1903,16.1097,109,1755.9573,260,4188.522
509,133.977,75910,10170194.07,23411,3136535.5470000003
1751,10.0901,0,0.0,8,80.7208
62,40.4224,36032,1456499.9168,20431,825870.0544
2151,40.7196,409,16654.3164,4305,175297.878
239,98.774,2378,234884.57200000001,1297,128109.878
1893,44.3029,1,44.3029,18,797.4522000000001
1305,111.513,141008,15724225.104,147865,16488869.745000001
1673,34.2884,449,15395.491600000001,350,12000.94
492,45.4197,61173,2778459.3081,40090,1820875.773
2249,320.874,189012,60649036.488000005,175197,56216162.178
264,17.7912,42591,757744.9992,29096,517652.7552
2123,26.1783,87,2277.5121,57,1492.1631
116,27.1629,670,18199.143,388,10539.2052
1159,18.1708,490,8903.692,5130,93216.204
1270,263.009,61688,16224499.192000002,215406,56653716.65400001
2165,28.2044,692,19517.4448,249,7022.8956
1152,171.372,3150,539821.8,5663,970479.636
792,79.0312,153822,12156737.2464,15087,1192343.7144
1979,51.6033,4976,256778.0208,2073,106973.6409
2185,56.1164,23,1290.6772,308,17283.8512

weighted_avg,NA,NA,272676939.03049004,NA,192563113.13485998
weighted_%,NA,NA,0.5860994507273817,NA,0.4139005492726183
weighted_total,465240052.16535
