Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
2264,44.9546,15.702,705.8771292
812,334.908,17.229,5770.129932
1358,97.2156,16.201,1574.9899356
1778,40.8635,16.007,654.1020445
828,45.4532,16.055,729.751126
2213,8.07837,12.904,104.24328648
1726,65.5195,16.163,1058.9916784999998
2054,37.2896,18.125,675.874
1903,16.1097,11.518,185.55152460000002
509,133.977,19.614,2627.8248780000004
1751,10.0901,18.271,184.3562171
62,40.4224,15.249,616.4011776000001
2151,40.7196,16.907,688.4462772
239,98.774,16.538,1633.524412
1893,44.3029,14.583,646.0691907
1305,111.513,15.307,1706.929491
1673,34.2884,11.748,402.8201232
492,45.4197,18.431,837.1304907
2249,320.874,14.931,4790.969694
264,17.7912,20.15,358.49267999999995
2123,26.1783,21.65,566.760195
116,27.1629,21.354,580.0365666
1159,18.1708,16.885,306.813958
1270,263.009,15.324,4030.349916
2165,28.2044,17.651,497.8358644
1152,171.372,14.067,2410.6899240000002
792,79.0312,17.777,1404.9376424
1979,51.6033,16.852,869.6188116
2185,56.1164,16.074,902.0150136000001

weighted_avg,NA,NA,37521.53317998
weighted_%,NA,NA,1.0
weighted_total,37521.53317998
