Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2264,44.9546,9300,418077.77999999997
812,334.908,65515,21941497.62
1358,97.2156,47441,4612005.2796
1778,40.8635,40,1634.54
828,45.4532,1297,58952.8004
2213,8.07837,202,1631.8307399999999
1726,65.5195,8,524.156
2054,37.2896,983,36655.6768
1903,16.1097,81,1304.8857
509,133.977,6609,885453.993
1751,10.0901,0,0.0
62,40.4224,2204,89090.96960000001
2151,40.7196,1038,42266.9448
239,98.774,294,29039.556
1893,44.3029,0,0.0
1305,111.513,62187,6934658.931
1673,34.2884,138,4731.7992
492,45.4197,11085,503477.3745
2249,320.874,96481,30958244.394
264,17.7912,6838,121656.2256
2123,26.1783,24,628.2792
116,27.1629,359,9751.4811
1159,18.1708,767,13937.0036
1270,263.009,54305,14282703.745000001
2165,28.2044,85,2397.374
1152,171.372,646,110706.312
792,79.0312,4471,353348.4952
1979,51.6033,693,35761.086899999995
2185,56.1164,170,9539.788

weighted_avg,NA,NA,81459678.32194
weighted_%,NA,NA,1.0
weighted_total,81459678.32194
