Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,32908,1479365.9768,14782,664518.8972
812,334.908,350455,117370183.14,62871,21056000.868
1358,97.2156,74113,7204939.7628,38214,3714996.9384
1778,40.8635,2,81.727,3,122.5905
828,45.4532,241,10954.2212,491,22317.521200000003
2213,8.07837,4,32.31348,43,347.36991
1726,65.5195,597,39115.1415,85,5569.157499999999
2054,37.2896,1180,44001.728,844,31472.4224
1903,16.1097,53,853.8141,56,902.1432
509,133.977,69252,9278175.204,6658,892018.866
1751,10.0901,0,0.0,0,0.0
62,40.4224,27853,1125885.1072000002,8179,330614.80960000004
2151,40.7196,44,1791.6624,365,14862.654
239,98.774,1962,193794.588,416,41089.984
1893,44.3029,0,0.0,1,44.3029
1305,111.513,93117,10383756.021,47891,5340469.083000001
1673,34.2884,377,12926.7268,72,2468.7648000000004
492,45.4197,49540,2250091.938,11633,528367.3701
2249,320.874,119835,38451935.79000001,69177,22197100.698000003
264,17.7912,36876,656068.2912,5715,101676.708
2123,26.1783,70,1832.481,17,445.0311
116,27.1629,655,17791.6995,15,407.44350000000003
1159,18.1708,73,1326.4684,417,7577.2236
1270,263.009,30645,8059910.805000001,31043,8164588.387
2165,28.2044,638,17994.4072,54,1523.0375999999999
1152,171.372,1973,338116.956,1177,201704.844
792,79.0312,150186,11869379.803199999,3636,287357.4432
1979,51.6033,4058,209406.19139999998,918,47371.829399999995
2185,56.1164,0,0.0,23,1290.6772

weighted_avg,NA,NA,209019711.96518004,NA,63657227.06531
weighted_%,NA,NA,0.7665470820831239,NA,0.23345291791687603
weighted_total,272676939.03049004
