Simpoints,Weight,FDIP_AVG_FTQ_OCCUPANCY_val,FDIP_AVG_FTQ_OCCUPANCY_w_val
2264,44.9546,43,1933.0478
812,334.908,51,17080.308
1358,97.2156,50,4860.78
1778,40.8635,61,2492.6735000000003
828,45.4532,46,2090.8472
2213,8.07837,56,452.38872
1726,65.5195,55,3603.5724999999998
2054,37.2896,59,2200.0864
1903,16.1097,61,982.6917
509,133.977,59,7904.643
1751,10.0901,59,595.3158999999999
62,40.4224,54,2182.8096
2151,40.7196,47,1913.8212
239,98.774,52,5136.248
1893,44.3029,63,2791.0827
1305,111.513,49,5464.137000000001
1673,34.2884,57,1954.4388000000001
492,45.4197,57,2588.9229
2249,320.874,30,9626.220000000001
264,17.7912,52,925.1424
2123,26.1783,51,1335.0933
116,27.1629,48,1303.8192
1159,18.1708,49,890.3692
1270,263.009,34,8942.306
2165,28.2044,59,1664.0596
1152,171.372,45,7711.740000000001
792,79.0312,60,4741.872
1979,51.6033,55,2838.1814999999997
2185,56.1164,52,2918.0528

weighted_avg,NA,NA,109124.67092
weighted_%,NA,NA,1.0
weighted_total,109124.67092
