Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
517,810.151,675831399,547525483731.24896
5297,898.498,676990925,608274992130.65
5168,967.77,677729874,655886640160.98
2807,979.819,676808726,663150049100.594
2215,509.983,677888887,345711808258.921
1490,862.35,678445740,585057683889.0
3954,490.914,677912120,332796550477.68
2031,399.553,677328651,270628694493.003

weighted_avg,NA,NA,4009031902242.0767
weighted_%,NA,NA,1.0
weighted_total,4009031902242.0767
