Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
517,810.151,988375,800732994.625,177863,144095887.313
5297,898.498,989221,888813090.0580001,186953,167976896.594
5168,967.77,988334,956479995.18,182941,177044811.57
2807,979.819,988243,968299268.017,178776,175168121.544
2215,509.983,989656,504707735.848,178088,90821852.50400001
1490,862.35,990337,854017111.95,185324,159814151.4
3954,490.914,989202,485613110.62799996,179936,88333101.504
2031,399.553,990652,395817978.556,177778,71031733.234

weighted_avg,NA,NA,5854481284.862,NA,1074286555.663
weighted_%,NA,NA,0.8449527274705743,NA,0.15504727252942568
weighted_total,6928767840.525001
