Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
517,810.151,1466824,1188348930.424,4711,3816621.3609999996
5297,898.498,1472058,1322641168.884,4818,4328963.364
5168,967.77,1469706,1422337375.62,4913,4754654.01
2807,979.819,1467189,1437579658.791,4962,4861861.878
2215,509.983,1467884,748595885.972,4945,2521865.935
1490,862.35,1472717,1269997504.95,4952,4270357.2
3954,490.914,1468490,720902299.86,4924,2417260.536
2031,399.553,1468324,586673259.172,5035,2011749.355

weighted_avg,NA,NA,8697076083.673,NA,28983333.638999995
weighted_%,NA,NA,0.9966785312530076,NA,0.0033214687469923397
weighted_total,8726059417.312
