Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,42276,34249943.676,0,0.0
5297,898.498,44220,39731581.56,0,0.0
5168,967.77,45099,43645459.23,0,0.0
2807,979.819,45588,44667988.572,0,0.0
2215,509.983,45391,23148638.353,0,0.0
1490,862.35,46165,39810387.75,0,0.0
3954,490.914,45155,22167221.669999998,0,0.0
2031,399.553,46784,18692687.552,0,0.0

weighted_avg,NA,NA,266113908.36299998,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,266113908.36299998
