Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,4668,3781784.868,43,34836.492999999995
5297,898.498,4761,4277748.978,57,51214.386000000006
5168,967.77,4873,4715943.21,40,38710.8
2807,979.819,4905,4806012.194999999,57,55849.683
2215,509.983,4924,2511156.292,21,10709.643
1490,862.35,4906,4230689.100000001,46,39668.1
3954,490.914,4899,2404987.6859999998,25,12272.85
2031,399.553,5020,2005756.06,15,5993.295

weighted_avg,NA,NA,28734078.389,NA,249255.25000000003
weighted_%,NA,NA,0.9914000489693635,NA,0.008599951030636516
weighted_total,28983333.639
