Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
517,810.151,6801,5509836.950999999,6434,5212511.534
5297,898.498,6778,6090019.444,7010,6298470.98
5168,967.77,6791,6572126.07,6954,6729872.58
2807,979.819,6791,6653950.829,7048,6905764.312
2215,509.983,6761,3447995.063,7086,3613739.538
1490,862.35,6749,5820000.15,7435,6411572.25
3954,490.914,6780,3328396.92,6752,3314651.3279999997
2031,399.553,6756,2699380.068,6721,2685395.713

weighted_avg,NA,NA,40121705.495000005,NA,41171978.235
weighted_%,NA,NA,0.493540256193284,NA,0.506459743806716
weighted_total,81293683.73
