Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,4529,3669173.8789999997,0,0.0
5297,898.498,4629,4159147.242,0,0.0
5168,967.77,4741,4588197.57,0,0.0
2807,979.819,4776,4679615.544,0,0.0
2215,509.983,4792,2443838.536,0,0.0
1490,862.35,4773,4115996.5500000003,0,0.0
3954,490.914,4768,2340677.952,0,0.0
2031,399.553,4888,1953015.064,0,0.0

weighted_avg,NA,NA,27949662.336999997,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,27949662.336999997
