Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,4674,3786645.7739999997,37,29975.587
5297,898.498,4773,4288530.954,45,40432.41
5168,967.77,4879,4721749.83,34,32904.18
2807,979.819,4914,4814830.566,48,47031.312
2215,509.983,4925,2511666.275,20,10199.66
1490,862.35,4916,4239312.600000001,36,31044.600000000002
3954,490.914,4901,2405969.514,23,11291.021999999999
2031,399.553,5022,2006555.166,13,5194.189

weighted_avg,NA,NA,28775260.678999998,NA,208072.96000000002
weighted_%,NA,NA,0.9928209445265462,NA,0.007179055473453781
weighted_total,28983333.639
