Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
517,810.151,3525567,2856241630.6169996
5297,898.498,3535726,3176842739.5480003
5168,967.77,3535888,3421926329.7599998
2807,979.819,3529139,3457917445.841
2215,509.983,3535485,1803037246.755
1490,862.35,3542428,3054812785.8
3954,490.914,3535876,1735811030.664
2031,399.553,3536515,1413025177.795

weighted_avg,NA,NA,20919614386.78
weighted_%,NA,NA,1.0
weighted_total,20919614386.78
