Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_w_val
517,810.151,0,0.0,0,0.0
5297,898.498,7,6289.486000000001,14,12578.972000000002
5168,967.77,1,967.77,0,0.0
2807,979.819,0,0.0,0,0.0
2215,509.983,1,509.983,0,0.0
1490,862.35,8,6898.8,12,10348.2
3954,490.914,0,0.0,0,0.0
2031,399.553,0,0.0,0,0.0

weighted_avg,NA,NA,14666.039,NA,22927.172000000002
weighted_%,NA,NA,0.3901246690526116,NA,0.6098753309473883
weighted_total,37593.211
