Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
517,810.151,13235,10722348.485,0,0.0
5297,898.498,13770,12372317.46,18,16172.964
5168,967.77,13745,13301998.65,0,0.0
2807,979.819,13838,13558735.321999999,1,979.819
2215,509.983,13847,7061734.601,0,0.0
1490,862.35,14169,12218637.15,15,12935.25
3954,490.914,13531,6642557.334,1,490.914
2031,399.553,13477,5384775.781,0,0.0

weighted_avg,NA,NA,81263104.783,NA,30578.947
weighted_%,NA,NA,0.9996238459669073,NA,0.0003761540330926765
weighted_total,81293683.73
