Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
49,53.1722,402798,21417655.8156,173713,9236702.3786
1172,4605.89,473502,2180898126.78,191550,882258229.5000001

weighted_avg,NA,NA,2202315782.5956,NA,891494931.8786001
weighted_%,NA,NA,0.7118456770132068,NA,0.2881543229867932
weighted_total,3093810714.4742002
