Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,14742,11943246.042,37,29975.587
5297,898.498,15600,14016568.8,41,36838.418000000005
5168,967.77,14753,14277510.81,34,32904.18
2807,979.819,14772,14473886.268,46,45071.674
2215,509.983,14889,7593136.887,20,10199.66
1490,862.35,15125,13043043.75,34,29319.9
3954,490.914,14826,7278290.964,23,11291.021999999999
2031,399.553,14928,5964527.184,12,4794.636

weighted_avg,NA,NA,88590210.70500001,NA,200395.077
weighted_%,NA,NA,0.9977430599190638,NA,0.0022569400809361847
weighted_total,88790605.78200002
