Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
2264,44.9546,1076,48371.1496,6448,289867.2608
812,334.908,10010,3352429.08,25543,8554555.044
1358,97.2156,2523,245274.9588,20865,2028403.494
1778,40.8635,0,0.0,24,980.724
828,45.4532,3,136.3596,834,37907.9688
2213,8.07837,0,0.0,129,1042.10973
1726,65.5195,0,0.0,10,655.1949999999999
2054,37.2896,26,969.5296,686,25580.6656
1903,16.1097,0,0.0,66,1063.2402
509,133.977,2055,275322.735,3315,444133.755
1751,10.0901,0,0.0,0,0.0
62,40.4224,771,31165.670400000003,1180,47698.432
2151,40.7196,1,40.7196,718,29236.6728
239,98.774,71,7012.954,120,11852.880000000001
1893,44.3029,0,0.0,0,0.0
1305,111.513,3093,344909.70900000003,26358,2939259.654
1673,34.2884,4,137.1536,99,3394.5516000000002
492,45.4197,1274,57864.6978,6002,272609.0394
2249,320.874,5685,1824168.6900000002,39305,12611952.57
264,17.7912,1102,19605.9024,3511,62464.9032
2123,26.1783,0,0.0,23,602.1009
116,27.1629,124,3368.1996,178,4834.9962000000005
1159,18.1708,2,36.3416,526,9557.8408
1270,263.009,960,252488.64,37773,9934638.957
2165,28.2044,85,2397.374,0,0.0
1152,171.372,47,8054.484,429,73518.588
792,79.0312,3564,281667.1968,641,50658.9992
1979,51.6033,101,5211.9333,257,13262.0481
2185,56.1164,0,0.0,105,5892.222

weighted_avg,NA,NA,6760633.4787,NA,37455623.91233001
weighted_%,NA,NA,0.15289927003345846,NA,0.8471007299665416
weighted_total,44216257.391030006
