Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2264,44.9546,1200619,53973346.8974,1084549,48755466.4754
812,334.908,1499017,502032785.43600005,387676,129835793.80800001
1358,97.2156,1039459,101051630.36039999,840387,81698726.4372
1778,40.8635,1379373,56366008.5855,208387,8515422.1745
828,45.4532,1162824,52854071.8368,2689548,122248563.1536
2213,8.07837,1190610,9618188.1057,293374,2369983.72038
1726,65.5195,1230024,80590557.468,165018,10811896.851
2054,37.2896,1403688,52342964.0448,91406,3408493.1776
1903,16.1097,822217,13245669.2049,29745,479183.0265
509,133.977,1145039,153408890.10300002,383716,51409118.532
1751,10.0901,1324017,13359463.931699999,67446,680536.8846
62,40.4224,1424386,57577100.646400005,390935,15802530.944000002
2151,40.7196,1324330,53926187.868,2013207,81976983.7572
239,98.774,1450417,143263488.75800002,93774,9262433.076
1893,44.3029,673142,29822142.7118,51207,2268618.6003
1305,111.513,1242811,138589583.043,1099392,122596500.096
1673,34.2884,1381364,47364761.37760001,324715,11133957.806000002
492,45.4197,975943,44327038.2771,521262,23675563.661399998
2249,320.874,1357773,435674053.60200006,1647535,528651145.59000003
264,17.7912,1358919,24176799.7128,2737962,48711629.5344
2123,26.1783,1109317,29040033.2211,438281,11473451.5023
116,27.1629,1253479,34048124.729100004,1141555,31007944.3095
1159,18.1708,1385344,25172808.7552,637645,11586519.766
1270,263.009,1313054,345345019.486,2304226,606032176.034
2165,28.2044,1108344,31260177.5136,38177,1076759.3788
1152,171.372,1169616,200439433.152,873955,149771416.26000002
792,79.0312,1191635,94176344.012,77441,6120255.1592
1979,51.6033,1060302,54715082.1966,348172,17966824.1676
2185,56.1164,1107888,62170686.1632,3055599,171469215.7236

weighted_avg,NA,NA,2939932441.1997004,NA,2310797109.60708
weighted_%,NA,NA,0.5599093255046771,NA,0.44009067449532296
weighted_total,5250729550.80678
