Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2264,44.9546,417625,18774164.825
812,334.908,279685,93668743.98
1358,97.2156,1727450,167935088.22
1778,40.8635,950,38820.325000000004
828,45.4532,175060,7957037.192000001
2213,8.07837,21445,173240.64465
1726,65.5195,1575,103193.2125
2054,37.2896,58835,2193933.616
1903,16.1097,4705,75796.1385
509,133.977,612430,82051534.11
1751,10.0901,0,0.0
62,40.4224,107055,4327420.032000001
2151,40.7196,148520,6047674.992
239,98.774,7650,755621.1
1893,44.3029,0,0.0
1305,111.513,2763935,308214683.65500003
1673,34.2884,12155,416775.50200000004
492,45.4197,662520,30091459.643999998
2249,320.874,1323490,424673530.26000005
264,17.7912,204930,3645950.616
2123,26.1783,6145,160865.65350000001
116,27.1629,27850,756486.765
1159,18.1708,88120,1601210.896
1270,263.009,3231135,849817585.215
2165,28.2044,2105,59370.262
1152,171.372,51695,8859075.540000001
792,79.0312,53930,4262152.615999999
1979,51.6033,332505,17158355.2665
2185,56.1164,10800,606057.12

weighted_avg,NA,NA,2034425827.39865
weighted_%,NA,NA,1.0
weighted_total,2034425827.39865
