Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,48146,2164384.1716,65561,2947268.5306
812,334.908,410651,137530305.108,105550,35349539.4
1358,97.2156,108941,10590764.679599999,103996,10110033.5376
1778,40.8635,4,163.454,41,1675.4035000000001
828,45.4532,637,28953.688400000003,2780,126359.89600000001
2213,8.07837,42,339.29154,452,3651.4232399999996
1726,65.5195,683,44749.818499999994,789,51694.8855
2054,37.2896,1886,70328.1856,4162,155199.3152
1903,16.1097,92,1482.0924,264,4252.9608
509,133.977,70716,9474317.532,22275,2984337.6750000003
1751,10.0901,0,0.0,8,80.7208
62,40.4224,36976,1494658.6624,20861,843251.6864000001
2151,40.7196,379,15432.7284,4290,174687.084
239,98.774,2339,231032.386,1140,112602.36
1893,44.3029,1,44.3029,18,797.4522000000001
1305,111.513,136241,15192642.633000001,126372,14092120.836000001
1673,34.2884,405,13886.802000000001,319,10937.999600000001
492,45.4197,57557,2614221.6729,37537,1704919.2789
2249,320.874,185305,59459556.57000001,143630,46087132.620000005
264,17.7912,42005,747319.356,27276,485272.7712
2123,26.1783,97,2539.2951,49,1282.7367
116,27.1629,786,21350.0394,423,11489.9067
1159,18.1708,449,8158.6892,5034,91471.8072
1270,263.009,59627,15682437.643000001,198151,52115496.359000005
2165,28.2044,692,19517.4448,249,7022.8956
1152,171.372,2851,488581.57200000004,5385,922838.2200000001
792,79.0312,154058,12175388.6096,14982,1184045.4383999999
1979,51.6033,4358,224887.1814,1503,77559.75989999999
2185,56.1164,25,1402.9099999999999,301,16891.0364

weighted_avg,NA,NA,268298846.5197401,NA,169673913.99644
weighted_%,NA,NA,0.6125925416081403,NA,0.38740745839185975
weighted_total,437972760.5161801
