Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2264,44.9546,10762,483801.4052,6367,286225.9382
812,334.908,84857,28419288.156,6788,2273355.504
1358,97.2156,24230,2355533.988,10557,1026305.0891999999
1778,40.8635,2,81.727,0,0.0
828,45.4532,205,9317.906,776,35271.6832
2213,8.07837,20,161.5674,139,1122.8934299999999
1726,65.5195,194,12710.783,96,6289.871999999999
2054,37.2896,512,19092.2752,551,20546.5696
1903,16.1097,20,322.194,40,644.388
509,133.977,17586,2356119.522,1474,197482.098
1751,10.0901,0,0.0,0,0.0
62,40.4224,5347,216138.57280000002,1076,43494.502400000005
2151,40.7196,82,3339.0072,643,26182.7028
239,98.774,436,43065.464,130,12840.62
1893,44.3029,0,0.0,0,0.0
1305,111.513,31394,3500839.122,13587,1515127.131
1673,34.2884,172,5897.6048,6,205.73040000000003
492,45.4197,13342,605989.6374,2979,135305.2863
2249,320.874,38552,12370334.448,16363,5250461.262
264,17.7912,7425,132099.66,2073,36881.1576
2123,26.1783,21,549.7443,39,1020.9537
116,27.1629,440,11951.676,18,488.9322
1159,18.1708,96,1744.3968,476,8649.300799999999
1270,263.009,11895,3128492.055,32595,8572778.355
2165,28.2044,210,5922.924,3,84.6132
1152,171.372,1022,175142.184,560,95968.32
792,79.0312,40068,3166622.1215999997,906,71602.2672
1979,51.6033,2190,113011.227,395,20383.303499999998
2185,56.1164,11,617.2804,34,1907.9576

weighted_avg,NA,NA,57138186.649100006,NA,19640626.431330003
weighted_%,NA,NA,0.7441921066068661,NA,0.25580789339313403
weighted_total,76778813.08043
