Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,2599,116837.0054,0,0.0
812,334.908,4985,1669516.3800000001,0,0.0
1358,97.2156,9452,918881.8511999999,0,0.0
1778,40.8635,3,122.5905,0,0.0
828,45.4532,285,12954.162,0,0.0
2213,8.07837,8,64.62696,0,0.0
1726,65.5195,23,1506.9485,0,0.0
2054,37.2896,212,7905.3952,0,0.0
1903,16.1097,13,209.4261,0,0.0
509,133.977,6248,837088.296,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,655,26476.672000000002,0,0.0
2151,40.7196,107,4356.9972,0,0.0
239,98.774,118,11655.332,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,12527,1396923.351,0,0.0
1673,34.2884,106,3634.5704000000005,0,0.0
492,45.4197,5313,241314.86609999998,0,0.0
2249,320.874,13535,4343029.590000001,0,0.0
264,17.7912,977,17382.0024,0,0.0
2123,26.1783,39,1020.9537,0,0.0
116,27.1629,312,8474.8248,0,0.0
1159,18.1708,96,1744.3968,0,0.0
1270,263.009,6845,1800296.6050000002,0,0.0
2165,28.2044,3,84.6132,0,0.0
1152,171.372,450,77117.40000000001,0,0.0
792,79.0312,808,63857.2096,0,0.0
1979,51.6033,1235,63730.0755,0,0.0
2185,56.1164,5,280.582,0,0.0

weighted_avg,NA,NA,11626466.72356,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,11626466.72356
