Simpoints,Weight,FDIP_AVG_FTQ_OCCUPANCY_val,FDIP_AVG_FTQ_OCCUPANCY_w_val
2264,44.9546,25,1123.865
812,334.908,29,9712.332
1358,97.2156,28,2722.0368
1778,40.8635,31,1266.7685000000001
828,45.4532,27,1227.2364
2213,8.07837,29,234.27273
1726,65.5195,29,1900.0654999999997
2054,37.2896,30,1118.688
1903,16.1097,31,499.40070000000003
509,133.977,31,4153.287
1751,10.0901,30,302.703
62,40.4224,29,1172.2496
2151,40.7196,27,1099.4292
239,98.774,28,2765.672
1893,44.3029,32,1417.6928
1305,111.513,28,3122.364
1673,34.2884,30,1028.652
492,45.4197,30,1362.591
2249,320.874,22,7059.228000000001
264,17.7912,29,515.9448
2123,26.1783,28,732.9924
116,27.1629,27,733.3983000000001
1159,18.1708,27,490.6116
1270,263.009,22,5786.198
2165,28.2044,30,846.132
1152,171.372,26,4455.6720000000005
792,79.0312,31,2449.9672
1979,51.6033,29,1496.4957
2185,56.1164,28,1571.2592

weighted_avg,NA,NA,62367.205429999995
weighted_%,NA,NA,1.0
weighted_total,62367.205429999995
