Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,33760,1517667.296,14386,646716.8756
812,334.908,381689,127830699.612,28962,9699605.496000001
1358,97.2156,82630,8032925.028,26311,2557839.6516
1778,40.8635,1,40.8635,3,122.5905
828,45.4532,200,9090.640000000001,437,19863.0484
2213,8.07837,5,40.39185,37,298.89968999999996
1726,65.5195,597,39115.1415,86,5634.677
2054,37.2896,1124,41913.5104,762,28414.6752
1903,16.1097,41,660.4977,51,821.5947
509,133.977,65875,8825734.875,4841,648582.657
1751,10.0901,0,0.0,0,0.0
62,40.4224,29663,1199049.6512000002,7313,295609.0112
2151,40.7196,45,1832.382,334,13600.3464
239,98.774,1947,192312.978,392,38719.408
1893,44.3029,0,0.0,1,44.3029
1305,111.513,103561,11548397.793000001,32680,3644244.8400000003
1673,34.2884,352,12069.516800000001,53,1817.2852000000003
492,45.4197,49161,2232877.8717,8396,381343.8012
2249,320.874,143354,45998571.396000005,41951,13460985.174
264,17.7912,36955,657473.796,5050,89845.56
2123,26.1783,72,1884.8376,25,654.4575
116,27.1629,772,20969.7588,14,380.2806
1159,18.1708,66,1199.2728,383,6959.4164
1270,263.009,31335,8241387.015000001,28292,7441050.6280000005
2165,28.2044,638,17994.4072,54,1523.0375999999999
1152,171.372,1806,309497.83200000005,1045,179083.74000000002
792,79.0312,150543,11897593.9416,3515,277794.668
1979,51.6033,3715,191706.2595,643,33180.9219
2185,56.1164,0,0.0,25,1402.9099999999999

weighted_avg,NA,NA,228822706.56514996,NA,39476139.95459
weighted_%,NA,NA,0.8528650403583247,NA,0.1471349596416754
weighted_total,268298846.51973996
