Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2264,44.9546,110096246,4949332700.4316
812,334.908,115003435,38515570408.98
1358,97.2156,159376324,15493864963.4544
1778,40.8635,344545262,14079325313.737001
828,45.4532,264490304,12021930685.7728
2213,8.07837,141462668,1142787773.2911599
1726,65.5195,89306146,5851294032.846999
2054,37.2896,87417377,3259759021.3792
1903,16.1097,100582424,1620352675.9128
509,133.977,303518464,40664493251.328
1751,10.0901,114174835,1152035502.6334999
62,40.4224,117889420,4765373291.008
2151,40.7196,256923386,10461817508.5656
239,98.774,86212502,8515553672.548
1893,44.3029,115802562,5130389324.0298
1305,111.513,194139601,21649089326.313
1673,34.2884,121011596,4149294008.2864003
492,45.4197,226275718,10277375228.8446
2249,320.874,100416191,32220944870.934002
264,17.7912,473238964,8419489056.3168
2123,26.1783,296541294,7762946956.7202
116,27.1629,172324429,4680831232.4841
1159,18.1708,104145573,1892408377.8684
1270,263.009,130742156,34386363707.404
2165,28.2044,103067772,2906964668.5968
1152,171.372,101858462,17455688349.864002
792,79.0312,132701713,10487575620.4456
1979,51.6033,138932142,7169357003.2685995
2185,56.1164,437558759,24554222343.5476

weighted_avg,NA,NA,355636430876.81305
weighted_%,NA,NA,1.0
weighted_total,355636430876.81305
