Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2264,44.9546,5304,238439.1984
812,334.908,35861,12010135.788
1358,97.2156,21931,2132035.3236
1778,40.8635,14,572.089
828,45.4532,399,18135.826800000003
2213,8.07837,0,0.0
1726,65.5195,3,196.55849999999998
2054,37.2896,350,13051.36
1903,16.1097,57,918.2529
509,133.977,4519,605442.063
1751,10.0901,0,0.0
62,40.4224,1653,66818.22720000001
2151,40.7196,387,15758.4852
239,98.774,165,16297.710000000001
1893,44.3029,0,0.0
1305,111.513,27752,3094708.776
1673,34.2884,61,2091.5924
492,45.4197,6324,287234.1828
2249,320.874,41351,13268460.774
264,17.7912,3754,66788.1648
2123,26.1783,12,314.1396
116,27.1629,200,5432.58
1159,18.1708,361,6559.6588
1270,263.009,25228,6635191.052
2165,28.2044,85,2397.374
1152,171.372,376,64435.872
792,79.0312,4201,332010.0712
1979,51.6033,263,13571.667899999999
2185,56.1164,26,1459.0264

weighted_avg,NA,NA,38898455.8145
weighted_%,NA,NA,1.0
weighted_total,38898455.8145
