Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2264,44.9546,62737111,2820321730.1606
812,334.908,60460322,20248645520.376
1358,97.2156,87003053,8458053999.2268
1778,40.8635,178578837,7297356305.7495
828,45.4532,148549268,6752039588.257601
2213,8.07837,74796564,604234318.72068
1726,65.5195,46784401,3065290561.3194995
2054,37.2896,45465019,1695372372.5024
1903,16.1097,51850178,835290812.5266
509,133.977,159219681,21331775201.337
1751,10.0901,59275842,598099173.3642
62,40.4224,62592774,2530150147.7376003
2151,40.7196,141346101,5755556694.2796
239,98.774,44727476,4417911714.424
1893,44.3029,60125166,2663719216.7814
1305,111.513,105887461,11807828438.493
1673,34.2884,63838466,2188918857.5944004
492,45.4197,117620967,5342309034.8499
2249,320.874,60836615,19520888001.510002
264,17.7912,254625201,4530087876.0312
2123,26.1783,166740633,4364986312.8639
116,27.1629,93489349,2539441837.9521003
1159,18.1708,56426880,1025321551.104
1270,263.009,80462107,21162258299.963
2165,28.2044,53007654,1495049076.4776
1152,171.372,56781081,9730687413.132
792,79.0312,68961028,5450072796.0736
1979,51.6033,73658219,3801007172.5227
2185,56.1164,241751828,13566242280.7792

weighted_avg,NA,NA,195598916306.1101
weighted_%,NA,NA,1.0
weighted_total,195598916306.1101
