Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2264,44.9546,632795,28447046.107
812,334.908,569295,190661449.86
1358,97.2156,2552895,248181219.162
1778,40.8635,295,12054.7325
828,45.4532,202525,9205409.33
2213,8.07837,21350,172473.1995
1726,65.5195,2445,160195.1775
2054,37.2896,71970,2683732.512
1903,16.1097,7560,121789.332
509,133.977,1249550,167410960.35
1751,10.0901,0,0.0
62,40.4224,146885,5937444.224
2151,40.7196,197820,8055151.272
239,98.774,8105,800563.27
1893,44.3029,0,0.0
1305,111.513,3753840,418601959.92
1673,34.2884,12305,421918.76200000005
492,45.4197,1068020,48509147.993999995
2249,320.874,2270450,728528373.3000001
264,17.7912,216265,3847613.868
2123,26.1783,8740,228798.342
116,27.1629,26800,727965.72
1159,18.1708,120855,2196032.034
1270,263.009,4016865,1056471646.7850001
2165,28.2044,2655,74882.682
1152,171.372,108750,18636705.0
792,79.0312,71030,5613586.136
1979,51.6033,522335,26954209.7055
2185,56.1164,7060,396181.784

weighted_avg,NA,NA,2973058510.5610003
weighted_%,NA,NA,1.0
weighted_total,2973058510.5610003
