Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
2264,44.9546,68748,3090538.8408,20008,899451.6368
812,334.908,582219,194989800.852,10015,3354103.62
1358,97.2156,416598,40499824.528799996,15294,1486815.3864
1778,40.8635,14047,574009.5845,15521,634242.3835
828,45.4532,7297,331672.0004,4090,185903.58800000002
2213,8.07837,6426,51911.605619999995,1906,15397.37322
1726,65.5195,2452,160653.81399999998,3381,221521.42949999997
2054,37.2896,94403,3520250.1088,38168,1423269.4528
1903,16.1097,2721,43834.4937,332,5348.4204
509,133.977,65242,8740927.434,3797,508710.669
1751,10.0901,4789,48321.4889,7616,76846.2016
62,40.4224,7572,306078.41280000005,5132,207447.7568
2151,40.7196,54209,2207368.7964,29527,1202327.6292
239,98.774,2592,256022.208,173,17087.902000000002
1893,44.3029,126,5582.1654,111,4917.6219
1305,111.513,528968,58986808.58400001,29296,3266884.848
1673,34.2884,1256,43066.2304,1507,51672.618800000004
492,45.4197,95966,4358746.9302,10274,466641.9978
2249,320.874,506069,162384384.30600002,25195,8084420.430000001
264,17.7912,17760,315971.712,20956,372832.3872
2123,26.1783,2357,61702.2531,4662,122043.2346
116,27.1629,901,24473.7729,1201,32622.6429
1159,18.1708,13990,254209.492,7081,128667.4348
1270,263.009,487397,128189797.57300001,47712,12548685.408
2165,28.2044,5427,153065.2788,2570,72485.308
1152,171.372,17798,3050078.856,6716,1150934.3520000002
792,79.0312,13461,1063838.9832,623,49236.4376
1979,51.6033,32097,1656311.1201,3522,181746.82259999998
2185,56.1164,13608,763631.9712,18460,1035908.744

weighted_avg,NA,NA,616132883.39702,NA,37808173.73742
weighted_%,NA,NA,0.9421841260386757,NA,0.05781587396132437
weighted_total,653941057.13444
