Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
2264,44.9546,270183181,12145976828.5826
812,334.908,141883903,47518054185.924
1358,97.2156,169908037,16517711761.777199
1778,40.8635,172037075,7030037014.262501
828,45.4532,23961740,1089137760.568
2213,8.07837,16616961,134237959.23356998
1726,65.5195,45931622,3009416907.6289997
2054,37.2896,511382284,19069240817.4464
1903,16.1097,12964725,208857830.3325
509,133.977,17637205,2362979814.285
1751,10.0901,84901783,856667480.6482999
62,40.4224,66133623,2673279762.3552003
2151,40.7196,314006292,12786210607.7232
239,98.774,2714392,268111355.408
1893,44.3029,681871,30208862.7259
1305,111.513,299162347,33360490801.011
1673,34.2884,19358080,663757590.2720001
492,45.4197,38060406,1728692222.3982
2249,320.874,443780929,142397761811.946
264,17.7912,102685246,1826893748.6352
2123,26.1783,17595606,460623052.5498
116,27.1629,12177107,330765539.7303
1159,18.1708,110581691,2009357790.8228
1270,263.009,690129153,181510178401.377
2165,28.2044,27386447,772418305.7668
1152,171.372,87082375,14923480768.500002
792,79.0312,5545080,438234326.496
1979,51.6033,40336316,2081487015.4427998
2185,56.1164,113795581,6385798341.6284

weighted_avg,NA,NA,514590068665.47766
weighted_%,NA,NA,1.0
weighted_total,514590068665.47766
