Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2264,44.9546,176782500,7947186574.5
812,334.908,140278204,46980292745.232
1358,97.2156,263307393,25597586194.930798
1778,40.8635,217066618,8870101744.643
828,45.4532,1314576631,59751714524.169205
2213,8.07837,0,0.0
1726,65.5195,5952598,390011244.66099995
2054,37.2896,329325977,12280433951.9392
1903,16.1097,22902540,368953048.638
509,133.977,180666202,24205115745.354
1751,10.0901,0,0.0
62,40.4224,77437917,3130226456.1408005
2151,40.7196,1422711797,57932255289.1212
239,98.774,32043304,3165045309.296
1893,44.3029,0,0.0
1305,111.513,355429739,39635036485.107
1673,34.2884,194015519,6652481721.679601
492,45.4197,224642380,10203189506.886
2249,320.874,303918457,97519530971.41801
264,17.7912,325333691,5788076763.3192
2123,26.1783,136678839,3578019650.9937
116,27.1629,512021440,13907987172.576
1159,18.1708,388983108,7068134258.8464
1270,263.009,624339883,164207008287.94702
2165,28.2044,2753352,77656641.1488
1152,171.372,179767373,30807094245.756004
792,79.0312,37804960,2987771354.752
1979,51.6033,104257845,5380048852.888499
2185,56.1164,720092392,40408992706.4288

weighted_avg,NA,NA,678839951448.3723
weighted_%,NA,NA,1.0
weighted_total,678839951448.3723
