Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
2264,44.9546,32,1438.5472,4117,185078.0882
812,334.908,78,26122.824,26180,8767891.44
1358,97.2156,50,4860.78,18702,1818126.1512
1778,40.8635,0,0.0,14,572.089
828,45.4532,1,45.4532,391,17772.2012
2213,8.07837,0,0.0,0,0.0
1726,65.5195,0,0.0,3,196.55849999999998
2054,37.2896,4,149.1584,291,10851.2736
1903,16.1097,0,0.0,57,918.2529
509,133.977,7,937.839,2501,335076.477
1751,10.0901,0,0.0,0,0.0
62,40.4224,7,282.95680000000004,863,34884.531200000005
2151,40.7196,0,0.0,372,15147.6912
239,98.774,11,1086.5140000000001,92,9087.208
1893,44.3029,0,0.0,0,0.0
1305,111.513,64,7136.832,23733,2646538.029
1673,34.2884,0,0.0,56,1920.1504000000002
492,45.4197,13,590.4561,5040,228915.288
2249,320.874,146,46847.60400000001,34552,11086838.448
264,17.7912,10,177.912,2654,47217.8448
2123,26.1783,0,0.0,10,261.783
116,27.1629,1,27.1629,70,1901.403
1159,18.1708,0,0.0,347,6305.2676
1270,263.009,119,31298.071000000004,23134,6084450.206
2165,28.2044,0,0.0,0,0.0
1152,171.372,0,0.0,325,55695.9
792,79.0312,0,0.0,619,48920.3128
1979,51.6033,3,154.8099,165,8514.5445
2185,56.1164,0,0.0,26,1459.0264

weighted_avg,NA,NA,121156.92050000001,NA,31414540.165499996
weighted_%,NA,NA,0.003841897649181397,NA,0.9961581023508186
weighted_total,31535697.085999995
