Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2264,44.9546,4338165,195020472.309
812,334.908,3918278,1312262648.424
1358,97.2156,5629036,547230112.1616
1778,40.8635,10647776,435105394.57600003
828,45.4532,9838503,447191444.5596
2213,8.07837,4727324,38189072.38188
1726,65.5195,2982355,195402408.42249998
2054,37.2896,2866742,106899662.4832
1903,16.1097,3122456,50301829.423200004
509,133.977,9652422,1293202542.2940001
1751,10.0901,3680157,37133152.1457
62,40.4224,3934692,159049693.90080002
2151,40.7196,9262606,377169611.2776
239,98.774,2939764,290372249.336
1893,44.3029,3571237,158216155.6873
1305,111.513,6898702,769294956.126
1673,34.2884,3975120,136300504.608
492,45.4197,7268649,330139856.9853
2249,320.874,4594821,1474358593.5540001
264,17.7912,15971583,284153627.4696
2123,26.1783,10481173,274379291.1459
116,27.1629,6203937,168516920.3373
1159,18.1708,3858786,70117228.6488
1270,263.009,5985280,1574182507.52
2165,28.2044,3278478,92467504.9032
1152,171.372,3790492,649584195.024
792,79.0312,4210623,332770588.4376
1979,51.6033,4531167,233823170.0511
2185,56.1164,15908887,892749466.4468

weighted_avg,NA,NA,12925584860.639982
weighted_%,NA,NA,1.0
weighted_total,12925584860.639982
