Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2264,44.9546,10298,462942.4708,4011,180312.9006
812,334.908,81683,27356290.164,7803,2613287.1240000003
1358,97.2156,18637,1811807.1372,9934,965739.7703999999
1778,40.8635,1,40.8635,6,245.181
828,45.4532,209,9499.7188,444,20181.220800000003
2213,8.07837,18,145.41066,32,258.50784
1726,65.5195,157,10286.5615,80,5241.5599999999995
2054,37.2896,418,15587.0528,206,7681.6576000000005
1903,16.1097,13,209.4261,31,499.40070000000003
509,133.977,15390,2061906.03,909,121785.09300000001
1751,10.0901,0,0.0,0,0.0
62,40.4224,5181,209428.45440000002,796,32176.230400000004
2151,40.7196,94,3827.6424,255,10383.498
239,98.774,415,40991.21,88,8692.112000000001
1893,44.3029,0,0.0,0,0.0
1305,111.513,24841,2770094.433,13562,1512339.306
1673,34.2884,130,4457.492,2,68.5768
492,45.4197,11671,530093.3187,2493,113231.3121
2249,320.874,31131,9989128.494,15180,4870867.32
264,17.7912,7291,129715.6392,1536,27327.283199999998
2123,26.1783,16,418.8528,4,104.7132
116,27.1629,442,12006.0018,6,162.9774
1159,18.1708,94,1708.0552,292,5305.8736
1270,263.009,10392,2733189.528,17772,4674195.948
2165,28.2044,189,5330.6316,3,84.6132
1152,171.372,796,136412.11200000002,399,68377.428
792,79.0312,39283,3104582.6296,876,69231.3312
1979,51.6033,1685,86951.56049999999,235,12126.7755
2185,56.1164,2,112.2328,14,785.6296

weighted_avg,NA,NA,51487163.123360015,NA,15320693.344139995
weighted_%,NA,NA,0.7706752745226447,NA,0.2293247254773553
weighted_total,66807856.46750001
