Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,4344,195282.7824,1543,69364.9478
812,334.908,14105,4723877.34,560,187548.48
1358,97.2156,14555,1414973.058,2297,223304.2332
1778,40.8635,2,81.727,1,40.8635
828,45.4532,420,19090.344,234,10636.0488
2213,8.07837,25,201.95925,40,323.1348
1726,65.5195,28,1834.5459999999998,4,262.078
2054,37.2896,287,10702.1152,168,6264.6528
1903,16.1097,27,434.9619,16,257.7552
509,133.977,10315,1381972.7550000001,629,84271.533
1751,10.0901,0,0.0,0,0.0
62,40.4224,878,35490.8672,181,7316.4544000000005
2151,40.7196,246,10017.0216,210,8551.116
239,98.774,265,26175.11,37,3654.638
1893,44.3029,0,0.0,0,0.0
1305,111.513,19130,2133243.69,3067,342010.37100000004
1673,34.2884,109,3737.4356000000002,26,891.4984000000001
492,45.4197,8843,401646.4071,1128,51233.4216
2249,320.874,24274,7788895.476000001,3986,1279003.7640000002
264,17.7912,1531,27238.3272,366,6511.5792
2123,26.1783,67,1753.9461000000001,3,78.5349
116,27.1629,308,8366.1732,44,1195.1676
1159,18.1708,188,3416.1104,257,4669.8956
1270,263.009,11040,2903619.3600000003,6899,1814499.091
2165,28.2044,24,676.9056,0,0.0
1152,171.372,884,151492.848,239,40957.908
792,79.0312,2196,173552.5152,6,474.18719999999996
1979,51.6033,2088,107747.69039999999,156,8050.114799999999
2185,56.1164,7,392.8148,25,1402.9099999999999

weighted_avg,NA,NA,21525914.287150003,NA,4152774.3788
weighted_%,NA,NA,0.8382793439017551,NA,0.1617206560982449
weighted_total,25678688.665950004
