Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
49,53.1722,81045,4309340.949,173483,9224472.772599999
1172,4605.89,94871,436965390.19000006,186967,861149435.6300001

weighted_avg,NA,NA,441274731.13900006,NA,870373908.4026002
weighted_%,NA,NA,0.3364275445695719,NA,0.6635724554304281
weighted_total,1311648639.5416002
