Simpoints,Weight,FDIP_AVG_FTQ_OCCUPANCY_val,FDIP_AVG_FTQ_OCCUPANCY_w_val
49,53.1722,18,957.0995999999999
1172,4605.89,16,73694.24

weighted_avg,NA,NA,74651.3396
weighted_%,NA,NA,1.0
weighted_total,74651.3396
